IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.29.115,2083,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,17.35644531
47.238.6.58,2053,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,16.05273438
47.243.255.224,2083,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,15.22460938
47.76.33.40,2083,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,13.51953125
8.219.42.72,2096,TRUE,SIN,Asia Pacific,Singapore,91 ms,12.82617188
8.217.121.207,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,12.38476563
47.76.26.26,8443,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,12.29589844
47.242.202.230,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,10.59082031
47.76.26.26,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,10.37890625
8.219.42.72,443,TRUE,SIN,Asia Pacific,Singapore,83 ms,8.965820313
47.76.213.245,2087,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,8.826171875
47.76.213.245,2083,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,8.427734375
47.238.6.58,2087,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,8.399414063
8.219.104.37,2096,TRUE,SIN,Asia Pacific,Singapore,230 ms,8.259765625
47.243.42.219,2053,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,8.123046875
47.237.92.26,2083,TRUE,SIN,Asia Pacific,Singapore,259 ms,8.024414063
47.236.254.120,8443,TRUE,SIN,Asia Pacific,Singapore,216 ms,7.991210938
47.236.130.95,8443,TRUE,SIN,Asia Pacific,Singapore,221 ms,7.666992188
47.76.213.245,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,7.631835938
47.237.94.140,2087,TRUE,SIN,Asia Pacific,Singapore,279 ms,7.610351563
47.236.9.152,2083,TRUE,SIN,Asia Pacific,Singapore,233 ms,7.583007813
47.237.0.31,2053,TRUE,SIN,Asia Pacific,Singapore,226 ms,7.55078125
47.76.26.26,2083,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,7.544921875
47.237.8.82,2096,TRUE,SIN,Asia Pacific,Singapore,227 ms,7.34765625
47.237.94.140,2083,TRUE,SIN,Asia Pacific,Singapore,220 ms,7.213867188
8.218.1.163,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,7.201171875
47.242.157.96,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,7.084960938
47.243.42.219,8443,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,6.96484375
8.219.107.135,2083,TRUE,SIN,Asia Pacific,Singapore,224 ms,6.873046875
47.236.180.24,2096,TRUE,SIN,Asia Pacific,Singapore,219 ms,6.702148438
8.217.121.207,2087,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,6.700195313
8.222.137.192,8443,TRUE,SIN,Asia Pacific,Singapore,221 ms,6.508789063
47.236.164.215,2083,TRUE,SIN,Asia Pacific,Singapore,220 ms,6.506835938
8.218.1.163,2083,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,6.416992188
47.236.80.110,2053,TRUE,SIN,Asia Pacific,Singapore,224 ms,6.412109375
8.222.144.50,2083,TRUE,SIN,Asia Pacific,Singapore,226 ms,6.385742188
47.237.95.13,2083,TRUE,SIN,Asia Pacific,Singapore,258 ms,6.31640625
47.236.164.215,8443,TRUE,SIN,Asia Pacific,Singapore,229 ms,6.3125
47.76.192.24,2083,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,6.2890625
47.76.192.24,2053,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,6.26171875
8.217.239.116,8443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,6.196289063
47.76.29.115,2053,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,6.19140625
8.218.11.90,8443,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,6.161132813
47.76.146.1,2083,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,6.158203125
8.222.144.50,2087,TRUE,SIN,Asia Pacific,Singapore,225 ms,6.135742188
8.222.249.190,2053,TRUE,SIN,Asia Pacific,Singapore,214 ms,6.092773438
47.76.29.115,2096,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,6.057617188
8.219.111.175,2087,TRUE,SIN,Asia Pacific,Singapore,221 ms,6.017578125
47.243.42.219,2083,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,6.014648438
47.237.95.146,2083,TRUE,SIN,Asia Pacific,Singapore,220 ms,5.977539063
47.236.180.24,2087,TRUE,SIN,Asia Pacific,Singapore,223 ms,5.9609375
8.222.137.192,2096,TRUE,SIN,Asia Pacific,Singapore,233 ms,5.875976563
47.236.171.205,2053,TRUE,SIN,Asia Pacific,Singapore,218 ms,5.870117188
47.236.170.225,2096,TRUE,SIN,Asia Pacific,Singapore,222 ms,5.830078125
47.236.117.48,8443,TRUE,SIN,Asia Pacific,Singapore,216 ms,5.806640625
47.237.10.1,2083,TRUE,SIN,Asia Pacific,Singapore,240 ms,5.650390625
47.236.165.25,2083,TRUE,SIN,Asia Pacific,Singapore,254 ms,5.633789063
47.237.121.38,2053,TRUE,SIN,Asia Pacific,Singapore,232 ms,5.612304688
47.237.125.8,2087,TRUE,SIN,Asia Pacific,Singapore,222 ms,5.5859375
47.238.40.58,2087,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,5.564453125
47.237.84.173,2083,TRUE,SIN,Asia Pacific,Singapore,228 ms,5.5078125
8.210.207.214,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,5.506835938
8.222.134.170,2096,TRUE,SIN,Asia Pacific,Singapore,215 ms,5.498046875
47.236.144.196,8443,TRUE,SIN,Asia Pacific,Singapore,225 ms,5.479492188
8.219.122.55,2083,TRUE,SIN,Asia Pacific,Singapore,225 ms,5.395507813
8.210.207.214,2087,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,5.381835938
47.236.118.216,2087,TRUE,SIN,Asia Pacific,Singapore,215 ms,5.379882813
8.219.11.158,2087,TRUE,SIN,Asia Pacific,Singapore,215 ms,5.361328125
8.219.111.147,8443,TRUE,SIN,Asia Pacific,Singapore,236 ms,5.346679688
47.237.86.185,2096,TRUE,SIN,Asia Pacific,Singapore,222 ms,5.342773438
8.222.136.247,2087,TRUE,SIN,Asia Pacific,Singapore,219 ms,5.311523438
8.219.122.55,2096,TRUE,SIN,Asia Pacific,Singapore,228 ms,5.280273438
47.237.84.173,2087,TRUE,SIN,Asia Pacific,Singapore,227 ms,5.276367188
47.236.237.90,2083,TRUE,SIN,Asia Pacific,Singapore,221 ms,5.275390625
8.219.122.55,8443,TRUE,SIN,Asia Pacific,Singapore,231 ms,5.272460938
8.219.111.147,2053,TRUE,SIN,Asia Pacific,Singapore,226 ms,5.236328125
47.76.29.115,2087,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,5.229492188
47.237.8.82,2083,TRUE,SIN,Asia Pacific,Singapore,222 ms,5.219726563
