IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.226.207.41,443,443,true,FRA,Europe,Frankfurt,154,9.93
141.144.197.111,443,443,true,AMS,Europe,Amsterdam,165,9.91
130.61.9.70,443,443,true,FRA,Europe,Frankfurt,182,9.90
130.162.180.192,443,443,true,FRA,Europe,Frankfurt,174,9.89
144.21.33.219,443,443,true,FRA,Europe,Frankfurt,175,9.89
89.168.105.149,443,443,true,FRA,Europe,Frankfurt,162,9.88
143.47.248.145,443,443,true,FRA,Europe,Frankfurt,179,9.88
193.122.5.164,443,443,true,FRA,Europe,Frankfurt,165,9.87
192.9.138.241,443,443,true,SJC,North America,San Jose,191,9.87
84.8.152.121,443,443,true,FRA,Europe,Frankfurt,178,9.86
141.148.241.108,443,443,true,FRA,Europe,Frankfurt,175,9.83
143.47.244.181,443,443,true,FRA,Europe,Frankfurt,179,9.81
143.47.231.237,443,443,true,FRA,Europe,Frankfurt,193,9.79
129.159.241.78,443,443,true,FRA,Europe,Frankfurt,168,9.79
84.8.146.105,443,443,true,FRA,Europe,Frankfurt,212,9.75
150.230.34.116,443,443,true,SJC,North America,San Jose,193,9.75
130.162.182.87,443,443,true,FRA,Europe,Frankfurt,184,9.72
141.147.90.252,443,443,true,FRA,Europe,Frankfurt,177,9.72
140.238.80.183,443,443,true,FRA,Europe,Frankfurt,180,9.72
143.47.232.166,443,443,true,FRA,Europe,Frankfurt,218,9.69
152.70.173.64,443,443,true,FRA,Europe,Frankfurt,183,9.69
132.226.211.90,443,443,true,FRA,Europe,Frankfurt,174,9.68
132.145.64.66,443,443,true,FRA,Europe,Frankfurt,192,9.67
141.148.224.231,443,443,true,FRA,Europe,Frankfurt,175,9.66
144.21.58.143,443,443,true,FRA,Europe,Frankfurt,183,9.66
144.24.243.207,443,443,true,MXP,Europe,Milan,162,9.66
129.151.221.152,443,443,true,ARN,Europe,Stockholm,184,9.65
141.147.44.223,443,443,true,FRA,Europe,Frankfurt,166,9.64
79.72.95.79,443,443,true,FRA,Europe,Frankfurt,192,9.62
64.181.240.173,443,443,true,SJC,North America,San Jose,198,9.60
89.168.112.118,8443,443,true,FRA,Europe,Frankfurt,218,9.59
129.146.133.33,443,443,true,LAX,North America,Los Angeles,204,9.59
144.21.54.29,443,443,true,FRA,Europe,Frankfurt,179,9.59
165.1.79.60,8443,443,true,SJC,North America,San Jose,191,9.57
143.47.231.69,443,443,true,FRA,Europe,Frankfurt,184,9.56
143.47.232.226,443,443,true,FRA,Europe,Frankfurt,182,9.56
152.70.123.225,8443,443,true,SJC,North America,San Jose,179,9.51
84.235.163.157,443,443,true,FRA,Europe,Frankfurt,176,9.49
138.3.255.182,443,443,true,FRA,Europe,Frankfurt,178,9.48
138.2.176.30,443,443,true,FRA,Europe,Frankfurt,183,9.45
