IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
166.0.188.128,17251,TRUE,LAX,North America,Los Angeles,178 ms,8827 kB/s
23.158.136.197,27522,TRUE,LAX,North America,Los Angeles,167 ms,8070 kB/s
166.0.188.128,43745,TRUE,LAX,North America,Los Angeles,172 ms,7332 kB/s
166.0.188.128,56268,TRUE,LAX,North America,Los Angeles,183 ms,6378 kB/s
166.0.188.128,56825,TRUE,LAX,North America,Los Angeles,175 ms,5810 kB/s
152.70.155.147,2096,TRUE,LAX,North America,Los Angeles,276 ms,5726 kB/s
193.123.252.170,2083,TRUE,ICN,Asia Pacific,Seoul,71 ms,5708 kB/s
82.153.65.154,24620,TRUE,NRT,Asia Pacific,Tokyo,250 ms,57 kB/s
143.47.232.173,443,TRUE,FRA,Europe,Frankfurt,231,7.37
130.61.181.61,8443,TRUE,FRA,Europe,Frankfurt,192,7.35
141.147.43.177,443,TRUE,FRA,Europe,Frankfurt,260,7.34
152.70.59.232,443,TRUE,FRA,Europe,Frankfurt,271,7.33
89.168.72.25,443,TRUE,FRA,Europe,Frankfurt,234,7.32
141.147.12.255,443,TRUE,FRA,Europe,Frankfurt,288,7.31
130.162.191.240,443,TRUE,FRA,Europe,Frankfurt,435,7.26
152.70.175.95,443,TRUE,FRA,Europe,Frankfurt,423,7.26
150.230.117.249,443,TRUE,FRA,Europe,Frankfurt,373,7.25
141.147.64.73,443,TRUE,FRA,Europe,Frankfurt,315,7.23
141.144.247.31,443,TRUE,FRA,Europe,Frankfurt,242,7.22
84.235.174.50,443,TRUE,FRA,Europe,Frankfurt,235,7.22
138.2.128.168,443,TRUE,FRA,Europe,Frankfurt,269,7.22
132.226.204.162,443,TRUE,FRA,Europe,Frankfurt,245,7.22
193.123.59.33,443,TRUE,FRA,Europe,Frankfurt,423,7.19
79.72.83.11,443,TRUE,FRA,Europe,Frankfurt,317,7.16
152.70.164.145,443,TRUE,FRA,Europe,Frankfurt,416,7.16
141.145.205.115,8443,TRUE,CDG,Europe,Paris,237,7.15
193.122.60.150,443,TRUE,FRA,Europe,Frankfurt,346,7.15
130.162.176.173,443,TRUE,FRA,Europe,Frankfurt,242,7.13
144.21.59.198,443,TRUE,FRA,Europe,Frankfurt,277,7.13
193.123.33.178,443,TRUE,FRA,Europe,Frankfurt,321,7.12
158.178.150.52,443,TRUE,FRA,Europe,Frankfurt,247,7.12
141.147.39.90,443,TRUE,FRA,Europe,Frankfurt,298,7.12
89.168.94.218,443,TRUE,FRA,Europe,Frankfurt,292,7.11
89.168.93.241,443,TRUE,FRA,Europe,Frankfurt,236,7.1
138.2.175.132,443,TRUE,FRA,Europe,Frankfurt,299,7.09
140.238.80.98,443,TRUE,FRA,Europe,Frankfurt,262,7.08
132.226.213.181,443,TRUE,FRA,Europe,Frankfurt,273,7.08
68.233.127.163,8443,TRUE,YUL,North America,Montréal,337,7.07
158.101.193.10,443,TRUE,FRA,Europe,Frankfurt,237,7.06
132.226.194.120,443,TRUE,FRA,Europe,Frankfurt,164,7.06
143.47.224.23,443,TRUE,FRA,Europe,Frankfurt,304,7.05
144.21.34.23,443,TRUE,FRA,Europe,Frankfurt,298,7.04
89.168.112.118,2053,TRUE,FRA,Europe,Frankfurt,224,7.03
193.123.57.203,443,TRUE,FRA,Europe,Frankfurt,368,7.01
130.162.185.131,443,TRUE,FRA,Europe,Frankfurt,362,7
138.2.139.83,443,TRUE,FRA,Europe,Frankfurt,188,7
144.24.169.111,443,TRUE,FRA,Europe,Frankfurt,308,7
143.47.247.117,443,TRUE,FRA,Europe,Frankfurt,251,7
130.162.191.15,443,TRUE,FRA,Europe,Frankfurt,292,7
158.101.211.127,443,TRUE,FRA,Europe,Frankfurt,306,7
144.21.37.94,443,TRUE,FRA,Europe,Frankfurt,287,7
130.162.190.232,443,TRUE,FRA,Europe,Frankfurt,235,7
158.101.223.51,443,TRUE,FRA,Europe,Frankfurt,326,7
140.238.80.98,443,TRUE,FRA,Europe,Frankfurt,365,7
130.61.170.78,443,TRUE,FRA,Europe,Frankfurt,175,7
89.168.66.31,443,TRUE,FRA,Europe,Frankfurt,211,7
40.233.70.7,8443,TRUE,YYZ,North America,Toronto,253,7
138.2.141.139,443,TRUE,FRA,Europe,Frankfurt,262,7
158.180.25.18,443,TRUE,FRA,Europe,Frankfurt,234,7
141.147.102.225,443,TRUE,FRA,Europe,Frankfurt,348,7
143.47.191.90,443,TRUE,FRA,Europe,Frankfurt,305,7
144.24.161.142,8443,TRUE,FRA,Europe,Frankfurt,215,7
158.101.207.163,443,TRUE,FRA,Europe,Frankfurt,287,7
84.235.164.1,443,TRUE,FRA,Europe,Frankfurt,341,7
144.24.243.207,443,TRUE,ZRH,Europe,Zurich,251,7
143.47.182.152,443,TRUE,FRA,Europe,Frankfurt,233,7
144.21.43.39,443,TRUE,FRA,Europe,Frankfurt,307,6.67
141.147.64.1,443,TRUE,FRA,Europe,Frankfurt,187,6.6
141.148.224.25,443,TRUE,FRA,Europe,Frankfurt,301,6.6
144.21.41.129,443,TRUE,FRA,Europe,Frankfurt,246,6.58
79.72.66.153,443,TRUE,FRA,Europe,Frankfurt,312,6.57
143.47.234.43,443,TRUE,FRA,Europe,Frankfurt,229,6.56
141.147.89.174,443,TRUE,FRA,Europe,Frankfurt,311,6.55
